	featureCounts KO3	featureCounts KO2	featureCounts on KO1	featureCounts FLOX3	featureCounts FLOX2	featureCounts FLOX1
uc007cim.1	0	0	0	0	0	4.65024236981802
uc007civ.1	0	0	2.10517552054713	3.05890273633347	0.88341062523684	2.79014542189081
uc011wqu.1	0	0	1.05258776027356	0	0.88341062523684	0
uc007cjl.1	0	1.99034687251042	0	0	0	0
uc007ckh.3	1.11484934218703	2.98552030876564	3.15776328082069	0	8.8341062523684	0.930048473963603
uc029qtb.1	0	0	0	0	0	1.86009694792721
uc011wra.1	2.22969868437407	7.9613874900417	0	2.03926849088898	8.8341062523684	0
uc007clm.2	10.0336440796833	1.99034687251042	10.5258776027356	6.11780547266694	4.4170531261842	9.30048473963603
uc007cmb.2	0	3.98069374502085	2.10517552054713	1.01963424544449	0.88341062523684	0.930048473963603
uc007cmc.1	1.11484934218703	0	0	0	0	0.930048473963603
uc007cmn.1	2.22969868437407	1.99034687251042	0	0	1.76682125047368	0
uc007cnm.1	0	0.995173436255212	1.05258776027356	0	0.88341062523684	4.65024236981802
uc007cns.1	0	0	0	1.01963424544449	0	0.930048473963603
uc007coi.2	0	1.99034687251042	2.10517552054713	7.13743971811143	0	0
uc007cph.1	0	0	0	1.01963424544449	0	0
uc007cpi.2	1.11484934218703	0.995173436255212	0	0	0	0
uc033fle.1	1.11484934218703	0	0	0	0	0
uc007cpw.2	0	0	2.10517552054713	0	0	0
uc007cpy.1	0	0.995173436255212	0	0	0	0
uc007cqf.2	0	0	0	0	0	0.930048473963603
uc057kgl.1	4.45939736874814	0.995173436255212	0	0	0.88341062523684	0.930048473963603
uc007crb.3	0	0	0	1.01963424544449	0	0
uc007crd.1	0	0	0	2.03926849088898	1.76682125047368	2.79014542189081
uc007crn.2	0	0	0	0	0.88341062523684	0
uc007crt.2	2.22969868437407	0.995173436255212	1.05258776027356	0	0	0
uc007csq.1	1.11484934218703	0	2.10517552054713	2.03926849088898	0	2.79014542189081
uc007csr.2	36.7900282921721	53.7393655577815	26.3146940068391	3.05890273633347	11.4843381280789	9.30048473963603
uc007ctr.1	5.57424671093517	10.9469077988073	6.31552656164138	3.05890273633347	2.65023187571052	6.51033931774522
uc007ctt.1	1.11484934218703	3.98069374502085	6.31552656164138	0	0	4.65024236981802
uc011wst.1	0	0	0	0	0.88341062523684	0
uc007cuo.2	0	0	0	0	0	0.930048473963603
uc007cup.1	0	0	1.05258776027356	0	0	0
uc011wsy.1	0	0	0	0	0	0.930048473963603
uc057kgu.1	0	1.99034687251042	0	0	3.53364250094736	0
uc007cuy.1	4.45939736874814	9.95173436255212	13.6836408835563	10.1963424544449	7.95069562713156	15.8108240573813
uc007cwd.1	0	0	0	0	0.88341062523684	0
uc007cwk.2	1.11484934218703	0	0	0	0	0
uc007cxu.3	6.6890960531222	8.95656092629691	10.5258776027356	1.01963424544449	2.65023187571052	10.2305332135996
uc029qtz.1	0	0.995173436255212	0	1.01963424544449	0	1.86009694792721
uc007czm.2	25.6415348703018	33.8358968326772	28.4198695273862	15.2945136816674	9.71751687760524	18.6009694792721
uc007czw.2	0	0	0	0	0.88341062523684	0
uc007czx.1	0	0	1.05258776027356	0	0	0.930048473963603
uc007dac.1	5.57424671093517	10.9469077988073	12.6310531232828	13.2552451907784	9.71751687760524	6.51033931774522
uc029que.1	1.11484934218703	0	0	1.01963424544449	0.88341062523684	0
uc029quf.1	1.11484934218703	3.98069374502085	1.05258776027356	2.03926849088898	2.65023187571052	0
uc007dal.2	0	0	1.05258776027356	0	0	0
uc007dar.1	0	0.995173436255212	0	1.01963424544449	0.88341062523684	0
uc007das.1	0	0	0	3.05890273633347	0.88341062523684	0
uc029qug.1	0	0.995173436255212	0	0	0	0
uc007dbi.2	0	0.995173436255212	0	0	0	0
uc033fmn.1	1.11484934218703	0	0	1.01963424544449	1.76682125047368	0.930048473963603
uc007dch.2	0	0.995173436255212	0	1.01963424544449	0	0.930048473963603
uc057kgy.1	3.3445480265611	2.98552030876564	2.10517552054713	3.05890273633347	1.76682125047368	1.86009694792721
uc007ddv.1	1.11484934218703	1.99034687251042	1.05258776027356	1.01963424544449	0	0
uc007dea.2	0	0	0	1.01963424544449	0	0
uc007dee.3	4.45939736874814	4.97586718127606	6.31552656164138	3.05890273633347	0.88341062523684	7.44038779170883
uc007dem.3	11.1484934218703	7.9613874900417	6.31552656164138	6.11780547266694	6.18387437665788	16.7408725313449
uc007dfj.2	0	3.98069374502085	3.15776328082069	1.01963424544449	1.76682125047368	0.930048473963603
uc007dfn.2	1.11484934218703	1.99034687251042	1.05258776027356	0	1.76682125047368	0.930048473963603
uc007dfv.1	0	0	0	0	0	0.930048473963603
uc007dgm.2	1.11484934218703	0	3.15776328082069	1.01963424544449	0	0.930048473963603
uc007dgn.2	0	0	0	0	0	0.930048473963603
uc007dgv.1	1.11484934218703	3.98069374502085	4.21035104109425	1.01963424544449	0	0
uc007dhd.1	0	0	0	0	0	0.930048473963603
uc007dhe.2	1.11484934218703	0	0	0	0.88341062523684	4.65024236981802
uc007dhg.2	0	0	0	0	0.88341062523684	0.930048473963603
uc007dir.2	2.22969868437407	0	1.05258776027356	1.01963424544449	0.88341062523684	0
uc007dje.1	0	0	1.05258776027356	0	0	0
uc033fmt.1	0	0.995173436255212	0	0	0	0
uc057khf.1	0	0	1.05258776027356	0	0	0
uc007dkj.1	0	0.995173436255212	4.21035104109425	2.03926849088898	1.76682125047368	0.930048473963603
uc007dkk.1	4.45939736874814	0.995173436255212	2.10517552054713	4.07853698177796	3.53364250094736	0
uc057avu.1	0	0.995173436255212	0	0	0	0
uc007dlm.2	0	4.97586718127606	6.31552656164138	2.03926849088898	0.88341062523684	1.86009694792721
uc007dln.1	0	1.99034687251042	1.05258776027356	0	0.88341062523684	0
uc007dmc.1	0	0.995173436255212	1.05258776027356	0	0	0.930048473963603
uc007dmd.1	4.45939736874814	0.995173436255212	4.21035104109425	4.07853698177796	12.3677487533158	6.51033931774522
uc007dmw.2	0	0	0	1.01963424544449	0	0
uc033fmz.1	0	0	1.05258776027356	1.01963424544449	0	0
uc007dna.1	12.2633427640574	5.97104061753127	10.5258776027356	7.13743971811143	5.30046375142104	12.0906301615268
uc007dnl.1	5.57424671093517	4.97586718127606	3.15776328082069	2.03926849088898	5.30046375142104	2.79014542189081
uc007dph.1	0	0	1.05258776027356	0	0.88341062523684	0
uc007dpj.2	0	0.995173436255212	0	0	0	0
uc011wwk.1	0	0.995173436255212	4.21035104109425	1.01963424544449	0.88341062523684	1.86009694792721
uc007dqj.1	1.11484934218703	1.99034687251042	0	0	0	0
uc007dql.2	0	0	0	0	8.8341062523684	0.930048473963603
uc007dqu.1	10.0336440796833	11.9420812350625	9.47328984246206	7.13743971811143	13.2511593785526	16.7408725313449
uc011wwq.1	1.11484934218703	0	1.05258776027356	1.01963424544449	2.65023187571052	0.930048473963603
uc007dqz.2	2.22969868437407	6.96621405378649	6.31552656164138	7.13743971811143	1.76682125047368	0
uc007drc.1	0	0	0	1.01963424544449	0	0
uc011wwu.1	0	0.995173436255212	0	0	0	0
uc007drt.1	13.3781921062444	0	16.841404164377	6.11780547266694	3.53364250094736	20.4610664271993
uc007dru.4	4.45939736874814	3.98069374502085	5.26293880136781	1.01963424544449	0	2.79014542189081
uc007dsw.2	0	2.98552030876564	1.05258776027356	1.01963424544449	0.88341062523684	0
uc007dtd.2	0	0	0	0	0.88341062523684	0
uc007dtf.1	1.11484934218703	5.97104061753127	8.4207020821885	0	0	23.2512118490901
uc056yfg.1	0	0	1.05258776027356	0	0	0
uc007dty.3	2.22969868437407	0.995173436255212	6.31552656164138	6.11780547266694	3.53364250094736	2.79014542189081
uc007duo.1	0	0	1.05258776027356	0	0.88341062523684	0
