	featureCounts KO3	featureCounts KO2	featureCounts on KO1	featureCounts FLOX3	featureCounts FLOX2	featureCounts FLOX1
Eif4a-ps4	34.5603296077981	42.7924577589741	37.8931593698483	31.6086616087792	24.7354975066315	28.8315026928717
Cd28	4.45939736874814	4.97586718127606	1.05258776027356	10.1963424544449	3.53364250094736	11.1605816875632
Adam23	1.11484934218703	0	0	0	0	0
Adam23	0	0	1.05258776027356	0	0	0
Mdh1b	3.3445480265611	0.995173436255212	1.05258776027356	1.01963424544449	0	0
4933402D24Rik	2.22969868437407	0.995173436255212	1.05258776027356	3.05890273633347	3.53364250094736	2.79014542189081
Pth2r	0	0	0	0	0.88341062523684	2.79014542189081
Map2	1.11484934218703	1.99034687251042	1.05258776027356	1.01963424544449	0	0
Map2	1.11484934218703	0	0	0	0	0
Unc80	0	0	0	1.01963424544449	0	0
Cps1	0	0.995173436255212	2.10517552054713	0	0	0
Abca12	0	0.995173436255212	0	0	0.88341062523684	0
Mreg	3.3445480265611	17.9131218525938	9.47328984246206	2.03926849088898	9.71751687760524	2.79014542189081
Tmem169	6.6890960531222	5.97104061753127	5.26293880136781	1.01963424544449	3.53364250094736	3.72019389585441
March4	0	0	0	0	0	0.930048473963603
Cxcr2	0	0.995173436255212	0	0	0	0
Gpbar1	0	0.995173436255212	0	0	0	0
Slc11a1	4.45939736874814	5.97104061753127	7.36811432191494	2.03926849088898	2.65023187571052	1.86009694792721
Wnt6	0	1.99034687251042	1.05258776027356	2.03926849088898	4.4170531261842	5.58029084378162
Cdk5r2	0	0	2.10517552054713	0	0	0
Cryba2	0	0	0	0	0.88341062523684	0
Des	2.22969868437407	0.995173436255212	1.05258776027356	0	0	1.86009694792721
Obsl1	1.11484934218703	0	3.15776328082069	0	0	3.72019389585441
Obsl1	0	0.995173436255212	0	0	0	0
Obsl1	2.22969868437407	0	1.05258776027356	0	0.88341062523684	1.86009694792721
Inha	0	0	0	0	0.88341062523684	0
Mogat1	0	0	0	0	0.88341062523684	0
Ap1s3	4.45939736874814	14.9276015438282	8.4207020821885	11.2159766998894	3.53364250094736	7.44038779170883
Dock10	0	0	0	0	0.88341062523684	0
Irs1	11.1484934218703	12.9372546713178	8.4207020821885	16.3141479271118	35.3364250094736	23.2512118490901
Tm4sf20	1.11484934218703	0.995173436255212	1.05258776027356	2.03926849088898	5.30046375142104	3.72019389585441
Dner	1.11484934218703	1.99034687251042	3.15776328082069	1.01963424544449	1.76682125047368	0
Slc16a14	0	0.995173436255212	0	0	0	0
Spata3	0	0	0	1.01963424544449	1.76682125047368	0
B3gnt7	0	0	1.05258776027356	0	0	0
Nmur1	0	0.995173436255212	0	0	0	0
Alpi	1.11484934218703	0	0	0	0	0
Sag	0	0	2.10517552054713	2.03926849088898	0	1.86009694792721
Glrp1	0	0	0	0	0	1.86009694792721
2410088K16Rik	0	0.995173436255212	3.15776328082069	1.01963424544449	1.76682125047368	0
D130058E05Rik	0	4.97586718127606	5.26293880136781	0	0	0
Iqca	1.11484934218703	4.97586718127606	1.05258776027356	0	0.88341062523684	1.86009694792721
Prlh	0	0.995173436255212	0	0	0	0
Ramp1	2.22969868437407	0	2.10517552054713	0	0	0.930048473963603
Espnl	4.45939736874814	3.98069374502085	4.21035104109425	2.03926849088898	2.65023187571052	3.72019389585441
Klhl30	1.11484934218703	1.99034687251042	9.47328984246206	1.01963424544449	0.88341062523684	1.86009694792721
Twist2	1.11484934218703	0	2.10517552054713	0	0	2.79014542189081
Otos	3.3445480265611	2.98552030876564	3.15776328082069	0	0.88341062523684	0
Gm9994	0	0	1.05258776027356	0	0	0
Cdh20	0	0	0	0	0.88341062523684	0.930048473963603
Serpinb3d	0	0	0	0	0.88341062523684	0
Cdh19	0	1.99034687251042	0	1.01963424544449	0	0.930048473963603
Cntnap5a	1.11484934218703	1.99034687251042	0	1.01963424544449	0	1.86009694792721
Tfcp2l1	14.4930414484314	24.8793359063803	42.1035104109425	7.13743971811143	6.18387437665788	10.2305332135996
Gli2	0	0	0	0	0	4.65024236981802
Gm101	0	0	1.05258776027356	0	0.88341062523684	0
Marco	0	1.99034687251042	0	0	0	0
Map3k19	2.22969868437407	7.9613874900417	0	2.03926849088898	8.8341062523684	0
Lct	10.0336440796833	1.99034687251042	10.5258776027356	6.11780547266694	4.4170531261842	9.30048473963603
Zp3r	0	3.98069374502085	2.10517552054713	1.01963424544449	0.88341062523684	0.930048473963603
C4bp	1.11484934218703	0	0	0	0	0.930048473963603
Faim3	2.22969868437407	1.99034687251042	0	0	1.76682125047368	0
Ctse	0	0.995173436255212	1.05258776027356	0	0.88341062523684	4.65024236981802
Slc26a9	0	0	0	1.01963424544449	0	0.930048473963603
Lrrn2	1.11484934218703	0.995173436255212	0	0	0	0
Optc	0	0	0	1.01963424544449	0	0
Fmod	0	0	0	2.03926849088898	1.76682125047368	2.79014542189081
4933406M09Rik	2.22969868437407	0.995173436255212	1.05258776027356	0	0	0
Lgr6	1.11484934218703	0	2.10517552054713	2.03926849088898	0	2.79014542189081
Ptprv	36.7900282921721	53.7393655577815	26.3146940068391	3.05890273633347	11.4843381280789	9.30048473963603
Lad1	1.11484934218703	3.98069374502085	6.31552656164138	0	0	4.65024236981802
Igfn1	0	0	0	0	0.88341062523684	0
5730559C18Rik	0	0	0	0	0	0.930048473963603
